Instancia,Otimo,Melhor_objetivo,Media_objetivo,Desvio_padrao_objetivo,Melhor_tempo,Media_tempo,Desvio_padrao_tempo,Gap_min,Gap_medio
A-n46-k7,914.0,915.0,954.4,27.042559050504078,119793.0,185939.0,55327.10666572038,0.0010940919037199124,0.04420131291028444
A-n32-k5,784.0,784.0,788.2,6.648308055437865,28290.0,69664.4,61009.73823333452,0.0,0.005357142857142915
A-n53-k7,1010.0,1048.0,1072.6,28.430617298961344,156868.0,217720.6,54630.69884963948,0.03762376237623762,0.06198019801980189
B-n56-k7,707.0,723.0,737.8,10.084641788382967,233358.0,266596.8,27010.254704463638,0.02263083451202263,0.0435643564356435
B-n45-k5,751.0,760.0,764.8,4.764451699828639,118622.0,183239.8,70622.83511513822,0.011984021304926764,0.018375499334220977
A-n45-k7,1146.0,1164.0,1176.6,11.970797801316335,131538.0,199275.8,66321.71914388228,0.015706806282722512,0.026701570680628194
A-n69-k9,1159.0,1234.0,1269.0,45.13313638558703,285949.0,291717.4,3697.9158048825284,0.06471095772217429,0.09490940465918896
B-n50-k8,1312.0,1325.0,1330.2,5.630275304103699,54248.0,81467.6,18862.51574684565,0.009908536585365854,0.01387195121951223
B-n45-k6,678.0,684.0,695.4,11.502173707608488,107393.0,175655.4,57349.94226065097,0.008849557522123894,0.025663716814159257
A-n39-k5,822.0,841.0,851.2,6.457553716385176,95743.0,142138.8,34131.61745654607,0.023114355231143552,0.0355231143552312
B-n44-k7,909.0,909.0,926.4,15.69394787808345,126261.0,206998.4,72553.52714582524,0.0,0.019141914191419116
F-n45-k4,724.0,750.0,785.8,22.993477335975086,202798.0,260190.0,36409.20984448853,0.03591160220994475,0.08535911602209939
B-n78-k10,1221.0,1291.0,1385.8,72.9773937599857,226899.0,268694.0,30456.22401907367,0.05733005733005733,0.13497133497133493
A-n44-k6,937.0,942.0,959.8,11.099549540409287,60430.0,121247.6,37877.089002456356,0.005336179295624333,0.02433297758804691
A-n54-k7,1167.0,1172.0,1191.4,12.239281024635394,128152.0,186109.0,35996.6081527135,0.004284490145672665,0.020908311910882684
A-n62-k8,1288.0,1310.0,1341.6,27.10719461692781,195280.0,216482.6,27014.794109894672,0.017080745341614908,0.041614906832298064
B-n39-k5,549.0,550.0,561.8,10.03493896344168,139376.0,189546.0,61234.61670084985,0.0018214936247723133,0.023315118397085527
B-n35-k5,955.0,958.0,967.0,9.16515138991168,86239.0,107404.8,19070.719813368345,0.0031413612565445027,0.012565445026178011
B-n50-k7,741.0,744.0,755.0,8.0,103063.0,134521.8,38079.363475509934,0.004048582995951417,0.018893387314439947
A-n39-k6,831.0,838.0,846.8,12.676750372236569,107027.0,131835.6,41747.025849753656,0.00842358604091456,0.019013237063778526
B-n43-k6,742.0,743.0,751.4,6.8044103344816,46432.0,104636.6,50931.36081826207,0.0013477088948787063,0.012668463611859807
F-n135-k7,1162.0,1733.0,1771.6,36.44585024388922,100698.0,207520.2,71690.30911636523,0.49139414802065406,0.5246127366609293
A-n45-k6,944.0,983.0,988.0,5.958187643906492,120978.0,161708.4,61549.57896931546,0.0413135593220339,0.046610169491525424
A-n80-k10,1763.0,1813.0,1873.4,40.90598978144887,222674.0,264924.2,34752.44349970229,0.02836074872376631,0.06262053318207605
B-n68-k9,1272.0,1324.0,1354.6,45.45107259460441,271555.0,289834.2,11488.928374744095,0.040880503144654086,0.06493710691823892
A-n48-k7,1073.0,1102.0,1123.0,12.90348790056394,94247.0,147684.8,37210.97654187538,0.02702702702702703,0.046598322460391424
A-n38-k5,730.0,739.0,747.8,11.077003204838391,95128.0,154118.8,60749.015931947404,0.012328767123287671,0.024383561643835556
F-n72-k4,237.0,331.0,345.2,8.584870412533903,162271.0,214121.8,47172.87087617204,0.39662447257383965,0.4565400843881856
B-n38-k6,805.0,807.0,812.2,5.06951674225463,62150.0,123538.0,84066.8005844162,0.002484472049689441,0.008944099378882044
A-n33-k5,661.0,661.0,666.2,7.259476565152615,36083.0,46964.4,12987.252800342343,0.0,0.007866868381240613
B-n41-k6,829.0,832.0,841.2,12.19426094521517,50432.0,142600.8,57824.815673722645,0.0036188178528347406,0.014716525934861334
A-n65-k9,1174.0,1199.0,1219.4,20.464603587658374,234204.0,266912.8,24726.944275425543,0.02129471890971039,0.03867120954003415
A-n64-k9,1401.0,1454.0,1473.6,20.743673734418405,232041.0,268211.2,27927.666528014834,0.03783012134189864,0.05182012847965732
B-n57-k7,1153.0,1144.0,1152.4,13.722244714331545,81576.0,136093.8,56927.00773973633,-0.007805724197745013,-0.000520381613182922
B-n57-k9,1598.0,1615.0,1634.4,16.37986568931504,100277.0,185377.4,68392.29461935021,0.010638297872340425,0.022778473091364264
A-n61-k9,1034.0,1067.0,1083.8,19.86705816169067,130038.0,181481.8,46198.295035639574,0.031914893617021274,0.048162475822050244
A-n36-k5,799.0,807.0,813.0,6.284902544988268,36511.0,48787.2,13801.29262786642,0.010012515644555695,0.017521902377972465
B-n34-k5,788.0,788.0,791.4,3.1304951684997055,101282.0,135407.6,48106.10996848529,0.0,0.004314720812182712
A-n55-k9,1073.0,1089.0,1111.6,22.434348664492134,166628.0,213590.4,53256.15093395316,0.014911463187325256,0.0359739049394221
A-n60-k9,1354.0,1367.0,1388.4,20.31748015872047,209465.0,235750.8,22615.147549817135,0.009601181683899557,0.025406203840472742
A-n34-k5,778.0,780.0,791.0,7.582875444051551,72279.0,149699.6,83668.75109800552,0.002570694087403599,0.016709511568123392
B-n64-k9,861.0,897.0,909.8,14.754660280738419,288498.0,295681.6,4492.20489292285,0.041811846689895474,0.05667828106852492
A-n33-k6,742.0,743.0,743.2,0.4472135954999579,34190.0,39864.4,3840.784203779223,0.0013477088948787063,0.0016172506738545086
A-n63-k10,1314.0,1335.0,1354.2,18.102486017119304,199107.0,222768.0,31950.294998638117,0.01598173515981735,0.030593607305936108
A-n37-k6,949.0,950.0,958.6,7.635443667528429,85673.0,148079.0,73539.02882143603,0.001053740779768177,0.010115911485774523
B-n66-k9,1316.0,1346.0,1360.8,11.861703081766969,271437.0,292540.4,12318.598491711628,0.022796352583586626,0.03404255319148933
B-n31-k5,672.0,684.0,685.6,3.0495901363953815,35136.0,48278.6,9859.483470243256,0.017857142857142856,0.02023809523809527
B-n67-k10,1032.0,1071.0,1093.6,22.13142562059661,207155.0,269513.4,35756.93415688767,0.0377906976744186,0.059689922480620064
A-n37-k5,669.0,678.0,683.4,4.774934554525329,67697.0,79435.6,11402.572332592326,0.013452914798206279,0.02152466367713001
B-n52-k7,747.0,748.0,759.4,20.54993917265937,143901.0,227896.2,63490.064480200366,0.0013386880856760374,0.016599732262382833
B-n51-k7,1032.0,1030.0,1045.2,28.48157299026864,63342.0,127225.0,96037.14096379587,-0.001937984496124031,0.01279069767441865
B-n63-k10,1496.0,1579.0,1602.6,24.2755020545405,273573.0,287902.0,10973.92828480303,0.05548128342245989,0.07125668449197854
A-n63-k9,1616.0,1645.0,1689.6,37.52066097498816,237080.0,257285.6,26016.661474908728,0.017945544554455444,0.04554455445544549
